Year,Month,Heads,Heads Unit,Weight,Weight Unit,Volume,Volume Unit
2009,JUN,1514990000,HEAD,8388829000,"LB, LIVE BASIS",-5737752026999551616,"HEAD × LB, LIVE BASIS"
2009,JUL,1533734000,HEAD,8509150000,"LB, LIVE BASIS",-5395971407609551616,"HEAD × LB, LIVE BASIS"
2009,AUG,1489312000,HEAD,8284541000,"LB, LIVE BASIS",-6108477747917551616,"HEAD × LB, LIVE BASIS"
2009,SEP,1493716000,HEAD,8401503000,"LB, LIVE BASIS",-5897284618561551616,"HEAD × LB, LIVE BASIS"
2009,OCT,1486185000,HEAD,8428492000,"LB, LIVE BASIS",-5920445690689551616,"HEAD × LB, LIVE BASIS"
2009,NOV,1341497000,HEAD,7615416000,"LB, LIVE BASIS",-8230686355957551616,"HEAD × LB, LIVE BASIS"
2009,DEC,1438305000,HEAD,8127718000,"LB, LIVE BASIS",-6756606635719551616,"HEAD × LB, LIVE BASIS"
2008,JAN,1612856000,HEAD,8981616000,"LB, LIVE BASIS",-3960690818413551616,"HEAD × LB, LIVE BASIS"
2008,FEB,1467991000,HEAD,8135509000,"LB, LIVE BASIS",-6503890081290551616,"HEAD × LB, LIVE BASIS"
2008,MAR,1491842000,HEAD,8291111000,"LB, LIVE BASIS",-6077716457247551616,"HEAD × LB, LIVE BASIS"
2008,APR,1584450000,HEAD,8866455000,"LB, LIVE BASIS",-4398289448959551616,"HEAD × LB, LIVE BASIS"
2008,MAY,1567186000,HEAD,8784820000,"LB, LIVE BASIS",-4679297157189551616,"HEAD × LB, LIVE BASIS"
2008,JUN,1534869000,HEAD,8542841000,"LB, LIVE BASIS",-5334602250880551616,"HEAD × LB, LIVE BASIS"
2008,JUL,1612196000,HEAD,8946023000,"LB, LIVE BASIS",-4024001577201551616,"HEAD × LB, LIVE BASIS"
2008,AUG,1525390000,HEAD,8512215000,"LB, LIVE BASIS",-5462296434859551616,"HEAD × LB, LIVE BASIS"
2008,SEP,1546699000,HEAD,8706499000,"LB, LIVE BASIS",-4980410776908551616,"HEAD × LB, LIVE BASIS"
2008,OCT,1597579000,HEAD,9039021000,"LB, LIVE BASIS",-4006193943550551616,"HEAD × LB, LIVE BASIS"
2008,NOV,1309064000,HEAD,7349579000,"LB, LIVE BASIS",-8825674789653551616,"HEAD × LB, LIVE BASIS"
2008,DEC,1454144000,HEAD,8079196000,"LB, LIVE BASIS",-6698429685485551616,"HEAD × LB, LIVE BASIS"
2007,JAN,1533615000,HEAD,8443618000,"LB, LIVE BASIS",-5497484854639551616,"HEAD × LB, LIVE BASIS"
2007,FEB,1365132000,HEAD,7432962000,"LB, LIVE BASIS",-8299769792725551616,"HEAD × LB, LIVE BASIS"
2007,MAR,1491650000,HEAD,8145122000,"LB, LIVE BASIS",-6297072842409551616,"HEAD × LB, LIVE BASIS"
2007,APR,1459478000,HEAD,8050538000,"LB, LIVE BASIS",-6697160974545551616,"HEAD × LB, LIVE BASIS"
2007,MAY,1602658000,HEAD,8862803000,"LB, LIVE BASIS",-4242701943335551616,"HEAD × LB, LIVE BASIS"
2007,JUN,1533043000,HEAD,8443560000,"LB, LIVE BASIS",-5502403520629551616,"HEAD × LB, LIVE BASIS"
2007,JUL,1548382000,HEAD,8500438000,"LB, LIVE BASIS",-5284818882393551616,"HEAD × LB, LIVE BASIS"
2007,AUG,1635698000,HEAD,8845746000,"LB, LIVE BASIS",-3977775033001551616,"HEAD × LB, LIVE BASIS"
2007,SEP,1443796000,HEAD,8005971000,"LB, LIVE BASIS",-6887755167793551616,"HEAD × LB, LIVE BASIS"
2007,OCT,1665841000,HEAD,9385151000,"LB, LIVE BASIS",-2812574746718551616,"HEAD × LB, LIVE BASIS"
2007,NOV,1488438000,HEAD,8412336000,"LB, LIVE BASIS",-5925503502541551616,"HEAD × LB, LIVE BASIS"
2007,DEC,1436058000,HEAD,8037329000,"LB, LIVE BASIS",-6904673464627551616,"HEAD × LB, LIVE BASIS"
