DATE,US_SUGAR_NET_LONG
2020-04-07,68987.0
2020-04-14,56119.0
2020-04-21,32478.0
2020-04-28,17817.0
2020-05-05,32194.0
2020-05-12,44114.0
2020-05-19,69622.0
2020-05-26,87063.0
2020-06-02,93406.0
2020-06-09,102694.0
2020-06-16,112164.0
2020-06-23,132594.0
2020-06-30,134901.0
2020-07-07,155572.0
2020-07-14,148802.0
2020-07-21,152737.0
2020-07-28,162968.0
2020-08-04,195222.0
2020-08-11,219117.0
2020-08-18,241108.0
2020-08-25,254089.0
2020-09-01,257326.0
2020-09-08,237289.0
2020-09-15,211401.0
2020-09-22,234659.0
2020-09-29,248345.0
2020-10-06,261973.0
2020-10-13,280534.0
2020-10-20,295988.0
2020-10-27,308463.0
2020-11-03,281382.0
2020-11-10,281925.0
2020-11-17,297643.0
2020-11-24,289950.0
2020-12-01,268579.0
2020-12-08,257800.0
2020-12-15,244468.0
2020-12-22,234997.0
2020-12-29,243884.0
2021-01-05,273650.0
2021-01-12,253265.0
2021-01-19,257714.0
2021-01-26,237860.0
2021-02-02,222459.0
2021-02-09,211355.0
2021-02-16,226940.0
2021-02-23,237936.0
2021-03-02,223020.0
2021-03-09,212933.0
2021-03-16,213767.0
2021-03-23,198687.0
2021-03-30,190169.0
2021-04-06,183005.0
2021-04-13,191617.0
2021-04-20,229169.0
2021-04-27,267768.0
2021-05-04,263046.0
2021-05-11,281203.0
2021-05-18,267834.0
2021-05-25,252991.0
2021-06-01,269226.0
2021-06-08,270109.0
2021-06-15,269661.0
2021-06-22,241991.0
2021-06-29,240728.0
2021-07-06,264005.0
2021-07-13,246981.0
2021-07-20,242469.0
2021-07-27,270987.0
2021-08-03,283287.0
2021-08-10,297421.0
2021-08-17,302267.0
2021-08-24,299077.0
2021-08-31,291432.0
2021-09-07,283929.0
2021-09-14,259049.0
2021-09-21,249467.0
2021-09-28,248915.0
2021-10-05,247375.0
2021-10-12,246188.0
2021-10-19,211550.0
2021-10-26,198607.0
2021-11-02,209061.0
2021-11-09,212031.0
2021-11-16,227389.0
2021-11-23,249626.0
2021-11-30,214995.0
2021-12-07,191239.0
2021-12-14,216463.0
2021-12-21,189198.0
2021-12-28,184686.0
2022-01-04,172987.0
2022-01-11,122925.0
2022-01-18,113168.0
2022-01-25,121283.0
2022-02-01,93593.0
2022-02-08,79090.0
2022-02-15,74563.0
2022-02-22,75246.0
2022-03-01,84539.0
2022-03-08,151076.0
2022-03-15,156580.0
2022-03-22,155796.0
2022-03-29,161581.0
2022-04-05,188547.0
2022-04-12,239864.0
2022-04-19,239515.0
2022-04-26,222549.0
2022-05-03,201592.0
2022-05-10,187185.0
2022-05-17,196630.0
2022-05-24,209487.0
2022-05-31,201680.0
2022-06-07,195403.0
2022-06-14,170483.0
2022-06-21,163111.0
2022-06-28,122709.0
2022-07-05,83512.0
2022-07-12,105869.0
2022-07-19,127162.0
2022-07-26,64103.0
2022-08-02,34438.0
2022-08-09,26065.0
2022-08-16,49970.0
2022-08-23,58087.0
2022-08-30,62551.0
2022-09-06,57771.0
2022-09-13,68330.0
2022-09-20,37345.0
2022-09-27,48601.0
2022-10-04,47087.0
2022-10-11,101115.0
2022-10-18,126412.0
2022-10-25,111888.0
2022-11-01,69093.0
2022-11-08,90182.0
2022-11-15,156194.0
2022-11-22,187962.0
2022-11-29,179035.0
2022-12-06,183124.0
2022-12-13,193051.0
2022-12-20,233166.0
2022-12-27,246430.0
2023-01-03,228492.0
2023-01-10,187713.0
2023-01-17,186698.0
2023-01-24,185084.0
2023-01-31,247072.0
2023-02-07,235980.0
2023-02-14,238826.0
2023-02-21,233338.0
2023-02-28,223799.0
2023-03-07,240709.0
2023-03-14,231143.0
2023-03-21,210656.0
2023-03-28,222829.0
2023-04-04,246651.0
2023-04-11,259788.0
2023-04-18,269172.0
2023-04-25,279528.0
2023-05-02,267347.0
2023-05-09,276610.0
2023-05-16,270829.0
2023-05-23,273810.0
2023-05-30,250387.0
2023-06-06,233868.0
2023-06-13,251260.0
2023-06-20,261001.0
2023-06-27,220174.0
2023-07-04,199368.0
2023-07-11,196304.0
2023-07-18,196306.0
2023-07-25,219814.0
